,ALSTM-FCN,LSTM-FCN,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet
ALSTM-FCN,0.0,0.01116946584107315,0.5266612772337147,6.237797241133685e-08,7.717186060786451e-11,0.010080782052627656,4.695082042320796e-05,3.4837976801439965e-06,0.0296486727336089,0.00013202704961619676,0.708320980277074,7.604553548437494e-08,0.036033178066780254,0.7514929600399942
LSTM-FCN,0.01116946584107315,0.0,0.0065381715497651515,2.0033568004864797e-11,9.532669970863317e-13,2.172233379840859e-06,6.469257036928803e-10,3.031203117759476e-10,8.444554142315466e-05,3.8648591944915714e-08,0.022538664315489777,2.271017272961944e-11,0.5720774957467345,0.015813958759019166
WEASEL,0.5266612772337147,0.0065381715497651515,0.0,5.362677009255946e-11,1.2448414590987146e-11,0.00010129149807902204,5.006151576408489e-06,3.174620463661891e-07,0.01715867147669297,3.253117035475172e-06,0.5782227262220339,4.143378502893366e-07,0.0842281343729711,0.44843044558189027
1-NN DTW CV,6.237797241133685e-08,2.0033568004864797e-11,5.362677009255946e-11,0.0,0.00024238079378598526,5.840311868829986e-07,0.00038465479749304177,0.014934040676954287,2.916820128794284e-07,5.451527064865794e-10,1.2359094318198937e-13,0.9839882122529005,2.0029978063270163e-09,1.0454412982817941e-09
1-NN DTW,7.717186060786451e-11,9.532669970863317e-13,1.2448414590987146e-11,0.00024238079378598526,0.0,1.0007218649715811e-10,7.118719596827314e-07,3.675211042541996e-05,4.830199832154731e-10,1.1055151964138337e-11,3.865800888644707e-14,0.15072412783306274,2.758458527409019e-12,6.494585954877609e-13
BOSS,0.010080782052627656,2.172233379840859e-06,0.00010129149807902204,5.840311868829986e-07,1.0007218649715811e-10,0.0,0.04517077103768144,0.0022279203385511827,0.15640979857403314,0.035871175950539666,0.00039561569462337053,0.00046363098972773253,0.0020421976982377193,0.003331819361539775
Learning Shapelet (LS),4.695082042320796e-05,6.469257036928803e-10,5.006151576408489e-06,0.00038465479749304177,7.118719596827314e-07,0.04517077103768144,0.0,0.4105743494087869,0.0039745499547940615,0.9493191535773172,1.5689102999096216e-09,0.014219401269096536,2.7078318986616903e-06,4.508670685703983e-05
TSBF,3.4837976801439965e-06,3.031203117759476e-10,3.174620463661891e-07,0.014934040676954287,3.675211042541996e-05,0.0022279203385511827,0.4105743494087869,0.0,0.0004993904983824323,0.4456162927661863,5.5333560857447804e-09,0.03978663336866086,9.104913211303854e-08,3.288220467078693e-07
ST,0.0296486727336089,8.444554142315466e-05,0.01715867147669297,2.916820128794284e-07,4.830199832154731e-10,0.15640979857403314,0.0039745499547940615,0.0004993904983824323,0.0,0.0020617823185840214,0.0013235723984040932,2.2673969363101353e-05,0.0011083232482693634,0.01079429095633085
EE (PROP),0.00013202704961619676,3.8648591944915714e-08,3.253117035475172e-06,5.451527064865794e-10,1.1055151964138337e-11,0.035871175950539666,0.9493191535773172,0.4456162927661863,0.0020617823185840214,0.0,2.571173429045593e-11,0.012049400997756003,2.3850645488101074e-06,1.1557301474560729e-05
COTE (ensemble),0.708320980277074,0.022538664315489777,0.5782227262220339,1.2359094318198937e-13,3.865800888644707e-14,0.00039561569462337053,1.5689102999096216e-09,5.5333560857447804e-09,0.0013235723984040932,2.571173429045593e-11,0.0,5.642182872640232e-08,0.16717729945332183,0.7688611832382993
MLP,7.604553548437494e-08,2.271017272961944e-11,4.143378502893366e-07,0.9839882122529005,0.15072412783306274,0.00046363098972773253,0.014219401269096536,0.03978663336866086,2.2673969363101353e-05,0.012049400997756003,5.642182872640232e-08,0.0,4.458476736893004e-10,5.150199520504829e-08
CNN,0.036033178066780254,0.5720774957467345,0.0842281343729711,2.0029978063270163e-09,2.758458527409019e-12,0.0020421976982377193,2.7078318986616903e-06,9.104913211303854e-08,0.0011083232482693634,2.3850645488101074e-06,0.16717729945332183,4.458476736893004e-10,0.0,0.199116883758087
ResNet,0.7514929600399942,0.015813958759019166,0.44843044558189027,1.0454412982817941e-09,6.494585954877609e-13,0.003331819361539775,4.508670685703983e-05,3.288220467078693e-07,0.01079429095633085,1.1557301474560729e-05,0.7688611832382993,5.150199520504829e-08,0.199116883758087,0.0
